# from	to	direction	protocol	channel	payload	trigger	profile	source	details
# direction: in/out/bidi from the deployment's point of view; internal for service-to-service. Node IDs from scripts/docs/services.tsv and externals.tsv.
apigateway	service_audit_processing	internal	HTTP	service_audit_processing:3005	proxied status API calls	on demand	base	compose/docker-compose.base.yml:357-358	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
apigateway	pf_mosquitto	internal	WS	pf_mosquitto:7575 (/api/mqtt)	MQTT over WebSocket for browsers	continuous	base	compose/docker-compose.base.yml:359-361	https://github.com/pacefactory/pf_mosquitto/blob/main/docs/architecture/README.md
ext_web_clients	apigateway	in	HTTP	host port HTTP_PORT (default 80)	web UI and API traffic (307 redirect to HTTPS when an https-* profile is enabled)	on demand	base	compose/docker-compose.base.yml:369-370	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
ext_cameras	record_video	in	RTSP	rtsp:// URL of the selected camera	H.264/H.265 video	on demand	tools	record_cli.py:96-134	record_cli.py
record_video	ext_host_fs	out	file	~/scv2/videos/<date>/<camera>/	recorded video segments	on demand	tools	compose/docker-compose.tools.yml:23; record_cli.py	record_cli.py
stitch_videos	ext_host_fs	bidi	file	~/scv2/videos/<date>/	stitched MP4 per camera	on demand	tools	compose/docker-compose.tools.yml:42; stitch_cli.py	stitch_cli.py
expresso_server	redis	internal	Redis	redis (port TODO(source), default 6379)	Celery task queue	on event	expresso-010	compose/docker-compose.expresso-010.yml:58	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
expresso_server	mongo_exp	internal	MongoDB wire	mongo_exp:27017	Expresso documents	on demand	expresso-010	compose/docker-compose.expresso-010.yml:60	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
expresso_server	realtime	internal	HTTP	realtime:8181	control-server API calls	on demand	expresso-010	compose/docker-compose.expresso-010.yml:61-62	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
expresso_server	dbserver	internal	HTTP	dbserver:8050	object and snapshot queries	on demand	expresso-010	compose/docker-compose.expresso-010.yml:66-67	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
expresso_server	vol_dbserver_data	internal	file	/home/scv2/dbserver_volume (ro mount of dbserver-data)	snapshot JPEGs read directly	on demand	expresso-010	compose/docker-compose.expresso-010.yml:47-50,75	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
expresso_server	auditgui	internal	HTTP	auditgui:80	uiserver reads	on demand	expresso-010	compose/docker-compose.expresso-010.yml:59	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
expresso_server	social_video_server	internal	HTTP	social_video_server:9999 (tolerated unreachable without social)	user-engagement metrics	on demand	expresso-010	compose/docker-compose.expresso-010.yml:76-80	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
expresso_server	ext_peer_deployment	out	HTTPS	PF_REMOTE_TRAINER_URLS (<peer>/api/expresso)	remote training job dispatch	on demand	expresso-010	compose/docker-compose.expresso-010.yml:30-35,89-91	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
ext_peer_deployment	apigateway	in	HTTPS	PF_EXPRESSO_PUBLIC_URL_BASE/training/remote/callback	remote training callbacks (proxied to expresso_server)	on event	expresso-010	compose/docker-compose.expresso-010.yml:23-29,84-88	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
celery_worker	redis	internal	Redis	redis	Celery tasks	on event	expresso-010	compose/docker-compose.expresso-010.yml:180	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
celery_worker	mongo_exp	internal	MongoDB wire	mongo_exp:27017	Expresso documents	on demand	expresso-010	compose/docker-compose.expresso-010.yml:181	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
celery_worker	realtime	internal	HTTP	realtime:8181	control-server API calls	on demand	expresso-010	compose/docker-compose.expresso-010.yml:182-183	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
celery_worker	dbserver	internal	HTTP	dbserver:8050	object and snapshot queries	on demand	expresso-010	compose/docker-compose.expresso-010.yml:187-188	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
celery_worker	pf_mosquitto	internal	MQTT	pf_mosquitto:1883	site-reliability snapshots	polling (celery beat schedule)	expresso-010	compose/docker-compose.expresso-010.yml:192-195	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
celery_worker	service_gifwrapper	internal	HTTP	service_gifwrapper:7171	idle-object snapshot archiving requests	polling (celery beat schedule)	expresso-010	compose/docker-compose.expresso-010.yml:196-199	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
celery_worker	auditgui	internal	HTTP	auditgui:80	audit app version info for site-reliability snapshot	polling	expresso-010	compose/docker-compose.expresso-010.yml:204-205	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
celery_beat	redis	internal	Redis	redis	scheduled task enqueue	polling (schedule)	expresso-010	compose/docker-compose.expresso-010.yml:227	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
celery_beat	mongo_exp	internal	MongoDB wire	mongo_exp:27017	schedule state TODO(source)	polling	expresso-010	compose/docker-compose.expresso-010.yml:228	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
apigateway	expresso_server	internal	HTTP	expresso_server:8456 (/api/expresso)	proxied API calls	on demand	expresso-010	compose/docker-compose.expresso-010.yml:253-254	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
apigateway	expresso_ui	internal	HTTP	expresso_ui:80 (/expresso)	proxied UI	on demand	expresso-010	compose/docker-compose.expresso-010.yml:255-256	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
trainer	redis	internal	Redis	redis	Celery training tasks	on event	expresso-030-trainer	compose/docker-compose.expresso-030-trainer.yml:29	https://github.com/pacefactory/trainer/blob/main/docs/architecture/README.md
trainer	mongo_exp	internal	MongoDB wire	mongo_exp:27017	Expresso documents	on demand	expresso-030-trainer	compose/docker-compose.expresso-030-trainer.yml:30	https://github.com/pacefactory/trainer/blob/main/docs/architecture/README.md
trainer	expresso_server	internal	HTTP	expresso_server (port TODO(source), 8456 expected)	training results TODO(source)	on event	expresso-030-trainer	compose/docker-compose.expresso-030-trainer.yml:32	https://github.com/pacefactory/trainer/blob/main/docs/architecture/README.md
social_video_server	auditgui	internal	HTTP	auditgui:80	uiserver reads	on demand	social	compose/docker-compose.social.yml:42	https://github.com/pacefactory/social_video_server/blob/main/docs/architecture/README.md
ext_web_clients	social_video_server	in	HTTP	host port SOCIAL_VIDEO_PUBLIC_PORT (default 9999)	video streams	on demand	social	compose/docker-compose.social.yml:43-44	https://github.com/pacefactory/social_video_server/blob/main/docs/architecture/README.md
apigateway	social_video_server	internal	HTTP	social_video_server:9999 (/api/video)	proxied API calls	on demand	social	compose/docker-compose.social.yml:56	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
apigateway	social_web_app	internal	HTTP	social_web_app (port TODO(source); served at /)	proxied UI	on demand	social	compose/docker-compose.social.yml:57	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
relational_dbserver	ext_client_sql	bidi	SQL	client database host and driver TODO(source)	client records TODO(source)	on demand	rdb	compose/docker-compose.rdb.yml:5-7	https://github.com/pacefactory/relational-dbserver/blob/main/docs/architecture/README.md
ext_web_clients	relational_dbserver	in	HTTP	host port RDB_PUBLIC_PORT (default 8282)	API calls	on demand	rdb	compose/docker-compose.rdb.yml:22-23	https://github.com/pacefactory/relational-dbserver/blob/main/docs/architecture/README.md
apigateway	relational_dbserver	internal	HTTP	relational_dbserver:8282 (/api/rdb)	proxied API calls	on demand	rdb	compose/docker-compose.rdb.yml:34-35	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
service_audit_processing	relational_dbserver	internal	HTTP	relational_dbserver:8282	relational lookups during audit processing	on demand	rdb	compose/docker-compose.rdb.yml:43	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
expresso_server	relational_dbserver	internal	HTTP	relational_dbserver:8282	relational lookups	on demand	rdb	compose/docker-compose.rdb.yml:47	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
ext_web_clients	nodered	in	HTTP	host port NODERED_PORT (default 1880)	Node-RED editor and HTTP-in nodes	on demand	node-red	compose/docker-compose.node-red.yml:23-24	https://nodered.org/docs/
apigateway	nodered	internal	HTTP	nodered:1880	proxied UI	on demand	node-red	compose/docker-compose.node-red.yml:35-36	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
nodered	ext_nodered_endpoints	bidi	varies	configured per site in flows	site-specific TODO(source)	varies	node-red	compose/docker-compose.node-red.yml (no endpoints in compose)	https://nodered.org/docs/
ext_ntfy_clients	ntfy	in	HTTP	host port NTFY_PUBLIC_PORT (default 333)	push notification publish and subscribe	on event	ntfy	compose/docker-compose.ntfy.yml:24-25	https://docs.ntfy.sh/
alert_processing_engine	pf_mosquitto	internal	MQTT	mqtt://pf_mosquitto:1883	object data in; alerts and debug messages out	continuous	ape	compose/docker-compose.ape.yml:32,35	https://github.com/pacefactory/alert_processing_engine/blob/main/docs/architecture/README.md
alert_processing_engine	dbserver	internal	HTTP	dbserver:8050	object and snapshot queries	on event	ape	compose/docker-compose.ape.yml:33	https://github.com/pacefactory/alert_processing_engine/blob/main/docs/architecture/README.md
ape_frame_playback	pf_mosquitto	internal	MQTT	mqtt://pf_mosquitto:1883	frame recording triggers TODO(source)	continuous	ape	compose/docker-compose.ape.yml:58	https://github.com/pacefactory/alert_processing_engine/blob/main/docs/architecture/README.md
ape_frame_playback	dbserver	internal	HTTP	dbserver:8050	snapshot queries	on demand	ape	compose/docker-compose.ape.yml:59	https://github.com/pacefactory/alert_processing_engine/blob/main/docs/architecture/README.md
apigateway	alert_processing_engine	internal	HTTP	alert_processing_engine:5380	proxied API calls	on demand	ape	compose/docker-compose.ape.yml:67-68	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
apigateway	ape_frame_playback	internal	HTTP	ape_frame_playback:5381	proxied playback	on demand	ape	compose/docker-compose.ape.yml:69-70	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
ext_web_clients	alert_processing_engine	in	HTTP	ephemeral host port -> 5380	direct API access	on demand	ape	compose/docker-compose.ape.yml:38-39	https://github.com/pacefactory/alert_processing_engine/blob/main/docs/architecture/README.md
ext_web_clients	ape_frame_playback	in	HTTP	ephemeral host port -> 5381	direct playback access	on demand	ape	compose/docker-compose.ape.yml:62-63	https://github.com/pacefactory/alert_processing_engine/blob/main/docs/architecture/README.md
expresso_server	alert_processing_engine	internal	HTTP	alert_processing_engine:5380	APE events integration	on demand	ape	compose/docker-compose.ape.yml:101	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
expresso_server	ape_timescaledb	internal	PostgreSQL	ape_timescaledb:5432 db tsdb	event queries	on demand	ape	compose/docker-compose.ape.yml:102-106	https://github.com/pacefactory/expresso_server/blob/main/docs/architecture/README.md
data_interconnector	ape_timescaledb	internal	PostgreSQL	ape_timescaledb:5432 db tsdb	ingested object records (PF_TIMESCALE_ENABLED=1)	continuous	ape	compose/docker-compose.ape.yml:113-119	https://github.com/pacefactory/data_interconnector/blob/main/docs/architecture/README.md
autozone	autozone_mongo	internal	MongoDB wire	autozone_mongo:27017	heatmaps and zones	on demand	autozone	compose/docker-compose.autozone.yml:24	https://github.com/pacefactory/autozone/blob/main/docs/architecture/README.md
autozone	dbserver	internal	HTTP	dbserver:8050	tracked object hulls	polling TODO(source)	autozone	compose/docker-compose.autozone.yml:25	https://github.com/pacefactory/autozone/blob/main/docs/architecture/README.md
autozone_api	autozone_mongo	internal	MongoDB wire	autozone_mongo:27017	zone results	on demand	autozone	compose/docker-compose.autozone.yml:42	https://github.com/pacefactory/autozone/blob/main/docs/architecture/README.md
apigateway	autozone_api	internal	HTTP	autozone_api:4545	proxied API calls	on demand	autozone	compose/docker-compose.autozone.yml:63-64	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
service_audit_processing	autozone_api	internal	HTTP	autozone_api:4545	autozone entry lookups	on demand	autozone	compose/docker-compose.autozone.yml:70	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
perf_eval_dbserver	perf_eval_mongo	internal	MongoDB wire	perf_eval_mongo:27017	scratch uistore records	on demand	audit-perf-eval	compose/docker-compose.audit-perf-eval.yml:146	https://github.com/pacefactory/scv2_dbserver/blob/main/docs/architecture/README.md
service_audit_processing_perf_eval	dbserver	internal	HTTP	dbserver:8050 (reads only)	source object reads	polling	audit-perf-eval	compose/docker-compose.audit-perf-eval.yml:176,180	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
service_audit_processing_perf_eval	perf_eval_dbserver	internal	HTTP	perf_eval_dbserver:8050	uistore writes	polling	audit-perf-eval	compose/docker-compose.audit-perf-eval.yml:177	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
service_audit_processing_perf_eval	auditgui	internal	HTTP	auditgui:80 (GET only)	audit config reads	polling	audit-perf-eval	compose/docker-compose.audit-perf-eval.yml:182	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
service_audit_processing_perf_eval	service_dtreeserver	internal	HTTP	service_dtreeserver:7272	classification requests	on event	audit-perf-eval	compose/docker-compose.audit-perf-eval.yml:183	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
ext_web_clients	service_audit_processing_perf_eval	in	HTTP	127.0.0.1:PERF_EVAL_HTTP_PORT (default 3006) -> 3005	/service/status and /service/perf metrics	on demand	audit-perf-eval	compose/docker-compose.audit-perf-eval.yml:201-203	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
swift_labeler	dbserver	internal	HTTP	dbserver (port TODO(source))	object and snapshot queries	on demand	swift-labeler	compose/docker-compose.swift-labeler.yml:26	https://github.com/pacefactory/swift-labeler/blob/main/docs/architecture/README.md
ext_web_clients	swift_labeler	in	HTTP	host port SWIFT_LABELER_PUBLIC_PORT (default 7474)	labelling UI	on demand	swift-labeler	compose/docker-compose.swift-labeler.yml:14-15	https://github.com/pacefactory/swift-labeler/blob/main/docs/architecture/README.md
apigateway	swift_labeler	internal	HTTP	swift-labeler:7474 (/swift)	proxied UI and API; static assets via shared volume	on demand	swift-labeler	compose/docker-compose.swift-labeler.yml:41-45	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
service_audit_processing	swift_labeler	internal	HTTP	swift-labeler:7474/swift	label lookups TODO(source)	on demand	swift-labeler	compose/docker-compose.swift-labeler.yml:51	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
ext_web_clients	service_gifwrapper	in	HTTP	host port GIFWRAPPER_PUBLIC_PORT (default 7171)	utility interface	on demand	service-ports	compose/docker-compose.service-ports.yml:14-16	https://github.com/pacefactory/scv2_services_gifwrapper/blob/main/docs/architecture/README.md
ext_web_clients	service_dtreeserver	in	HTTP	host port DTREESERVER_PUBLIC_PORT (default 7272)	utility interface	on demand	service-ports	compose/docker-compose.service-ports.yml:17-19	https://github.com/pacefactory/scv2_services_dtreeserver/blob/main/docs/architecture/README.md
ext_mqtt_clients	pf_mosquitto	in	MQTT	host port PF_MOSQUITTO_PUBLIC_PORT (default 1883)	MQTT publish/subscribe (credentials in pf_mosquitto repo)	continuous	mqtt-public	compose/docker-compose.mqtt-public.yml:16-18	https://github.com/pacefactory/pf_mosquitto/blob/main/docs/architecture/README.md
ext_mqtt_clients	pf_mosquitto	in	MQTTS	host port MQTTS_PUBLIC_PORT (default 8883)	MQTT over TLS using the https-* certificate	continuous	mqtts-public	compose/docker-compose.mqtts-public.yml:18-24	https://github.com/pacefactory/pf_mosquitto/blob/main/docs/architecture/README.md
ext_host_fs	pf_mosquitto	in	file	MQTTS_CERT_SOURCE mounted at /etc/mosquitto-tls (ro)	TLS certificate and key	on demand (container start)	mqtts-public	compose/docker-compose.mqtts-public.yml:21-22	https://github.com/pacefactory/pf_mosquitto/blob/main/docs/architecture/README.md
certbot	ext_acme	out	HTTPS	acme-v02.api.letsencrypt.org TODO(source)	ACME certificate order	on demand	https-digitalocean	compose/docker-compose.https-digitalocean.yml:32-51	https://eff-certbot.readthedocs.io/
certbot	ext_dns_api	out	HTTPS	DigitalOcean API (credentials/digitalocean/credentials.ini)	DNS-01 TXT record	on demand	https-digitalocean	compose/docker-compose.https-digitalocean.yml:38-41,56	https://certbot-dns-digitalocean.readthedocs.io/
certbot	vol_certbot	internal	file	/etc/letsencrypt	issued certificate and key	on demand	https-digitalocean	compose/docker-compose.https-digitalocean.yml:57,63	https://eff-certbot.readthedocs.io/
ext_web_clients	apigateway	in	HTTPS	host port HTTPS_PORT (default 443)	web UI and API traffic (TLS)	on demand	https-digitalocean	compose/docker-compose.https-digitalocean.yml:60-61	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
certbot	ext_acme	out	HTTPS	acme-v02.api.letsencrypt.org TODO(source)	ACME certificate order	on demand	https-godaddy	compose/docker-compose.https-godaddy.yml:32-50	https://eff-certbot.readthedocs.io/
certbot	ext_dns_api	out	HTTPS	GoDaddy API (credentials/godaddy/credentials.ini)	DNS-01 TXT record	on demand	https-godaddy	compose/docker-compose.https-godaddy.yml:36-41,55	https://github.com/miigotu/certbot-dns-godaddy
certbot	vol_certbot	internal	file	/etc/letsencrypt	issued certificate and key	on demand	https-godaddy	compose/docker-compose.https-godaddy.yml:56,62	https://eff-certbot.readthedocs.io/
ext_web_clients	apigateway	in	HTTPS	host port HTTPS_PORT (default 443)	web UI and API traffic (TLS)	on demand	https-godaddy	compose/docker-compose.https-godaddy.yml:59-60	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
certbot	ext_acme	out	HTTPS	acme-v02.api.letsencrypt.org TODO(source); manual DNS challenge	ACME certificate order	on demand	https-manual	compose/docker-compose.https-manual.yml:29-41	https://eff-certbot.readthedocs.io/
certbot	vol_certbot	internal	file	/etc/letsencrypt	issued certificate and key	on demand	https-manual	compose/docker-compose.https-manual.yml:45,51	https://eff-certbot.readthedocs.io/
ext_web_clients	apigateway	in	HTTPS	host port HTTPS_PORT (default 443)	web UI and API traffic (TLS)	on demand	https-manual	compose/docker-compose.https-manual.yml:48-49	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
ext_host_fs	apigateway	in	file	credentials/ssl/live/<SERVER_NAME>/ mounted at /etc/nginx/ssl (ro)	TLS certificate, key and optional privkey.pass	on demand (container start)	https-no-certbot	compose/docker-compose.https-no-certbot.yml:32-33	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
ext_web_clients	apigateway	in	HTTPS	host port HTTPS_PORT (default 443)	web UI and API traffic (TLS)	on demand	https-no-certbot	compose/docker-compose.https-no-certbot.yml:30-31	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
